event,time
Parte 1,23:03:14
Pedagogical Page Open Time,23:03:14
Pedagogical Page Close Time,23:03:16
Multiplechoice Page Open Time,23:03:16
Multiplechoice Page Close Time,23:03:27
Parte 2,23:03:27
Pedagogical Page Open Time,23:03:27
Pedagogical Page Close Time,23:03:28
Draganddrop Page Open Time,23:03:28
Draganddrop Page Close Time,23:03:33
Parte 3,23:03:33
Pedagogical Page Open Time,23:03:33
Pedagogical Page Close Time,23:03:35
Draganddrop Page Open Time,23:03:35
Draganddrop Page Close Time,23:04:22
Parte 4,23:04:22
Pedagogical Page Open Time,23:04:22
Pedagogical Page Close Time,23:04:23
Multiplechoice Page Open Time,23:04:23
Multiplechoice Page Close Time,23:04:29
Parte 5,23:04:29
Pedagogical Page Open Time,23:04:29
Pedagogical Page Close Time,23:04:30
Draganddrop Page Open Time,23:04:30
Draganddrop Page Close Time,23:04:48
Parte 6,23:04:48
Pedagogical Page Open Time,23:04:48
Pedagogical Page Close Time,23:04:49
Practica Page Open Time,23:04:49
Practica Page Close Time,23:04:52
Parte 7,23:04:52
Multiplechoice Page Open Time,23:04:52
Multiplechoice Page Close Time,23:05:01

