NER_Text,Count,NER_Label
duolingo,33,ORG
grinningfacewithbigeyes,10,MISC
sololearn,6,MISC
phyton,6,ORG
buenardo,6,PER
smilingfacewithsmilingeyes,6,MISC
pensiveface,5,MISC
cuba,5,LOC
redheart,5,PER
beamingfacewithsmilingeyes,4,MISC
unity,4,ORG
play store,4,MISC
udemy,3,ORG
smilingfacewithhalo,3,MISC
smilingfacewithhearteyes,3,MISC
chévere,3,LOC
smilingfacewithsunglasses,3,MISC
duo lingo,2,MISC
mexico,2,LOC
hello world,2,MISC
java script,2,MISC
facewithsteamfromnose,2,MISC
failed,2,MISC
heartsuit,2,MISC
grasshopper,2,MISC
pvta,2,ORG
grasshoper,2,MISC
vienna austria,2,MISC
okhand  okhand,2,MISC
okhand,2,MISC
latam,2,LOC
colombia,2,LOC
okhandmediumskintone,1,MISC
premio,1,MISC
mimo es la mamada,1,MISC
mimo pro,1,MISC
mimo python,1,MISC
mimo sparkles,1,MISC
play stor,1,MISC
play estore,1,MISC
mimomimo,1,MISC
play,1,MISC
minecraf,1,MISC
mundo,1,MISC
monobehaveour,1,MISC
msje hazte pro,1,MISC
mysql,1,MISC
piero,1,MISC
nasa,1,ORG
phytom sololearn,1,MISC
okhand  okhand  okhand,1,MISC
perú,1,LOC
okhandlightskintone,1,MISC
partyingface,1,MISC
okhandmediumdarkskintone  relievedface,1,MISC
pana banana,1,PER
10010,1,MISC
python bro,1,MISC
victoryhandmediumdarkskintone,1,MISC
uni,1,ORG
unity 5,1,MISC
universidad  starstruck,1,ORG
usa,1,LOC
vdd,1,MISC
venezuela,1,LOC
victoryhandlightskintone,1,MISC
victoryhandmediumlightskintone,1,MISC
qué hueva,1,MISC
viena austria,1,MISC
w3 schools,1,ORG
wavinghandmediumlightskintone,1,MISC
web,1,MISC
wordpress,1,MISC
wsta,1,MISC
wuao estoy aprendiendo,1,MISC
tuco quest,1,MISC
sublime text,1,MISC
starstruck  blueheart,1,MISC
starstruck,1,MISC
raisinghandsmediumlightskintone,1,MISC
redheart  starstruck,1,MISC
relievedface,1,MISC
relievedface  catface,1,MISC
república dominicana,1,LOC
ruby on rails estatia,1,MISC
mimo app,1,MISC
sele,1,PER
smilingfacewithsmilingeyes  grinningfacewithbigeyes,1,MISC
smilingfacewithsunglasses  fire  okhand,1,MISC
smilingfacewithsunglasses  okhand,1,MISC
sololearn  thumbsuplightskintone,1,MISC
sparklingheart,1,MISC
sta piola,1,MISC
star  star  star  star  star,1,MISC
screen translate,1,MISC
lorito verde,1,MISC
mimo  star,1,MISC
edta,1,MISC
commandos,1,MISC
css,1,MISC
css grid,1,MISC
desarro,1,LOC
dominicanrepublic,1,ORG
donal trump,1,PER
eden,1,ORG
españa,1,LOC
code playground,1,MISC
eye  mouth  eye,1,MISC
eye  mouth  eye  okhand,1,MISC
faceblowingakiss,1,MISC
fidig wars,1,MISC
fire,1,MISC
fire  fire,1,MISC
fire  fire  fire,1,MISC
codecademy,1,MISC
co te ido,1,MISC
messirve,1,PER
aventuras con paulo,1,MISC
5stars facewithmonocle  okhand,1,MISC
acmarket,1,ORG
amazon,1,ORG
apk,1,MISC
app store,1,MISC
argentina,1,LOC
atte juan,1,PER
bery good thinkingface,1,MISC
chile,1,LOC
blubble translator,1,MISC
bluestacks 5,1,MISC
bootstrap sql,1,MISC
c,1,MISC
c edit,1,MISC
candy crush,1,MISC
ccetcen,1,MISC
flexedbicepslightskintone,1,MISC
fortran pascal,1,MISC
francisca van zeller,1,PER
learn,1,MISC
java kotlin,1,MISC
javascript,1,MISC
key  alien,1,MISC
khan academy,1,ORG
kotlin,1,PER
kotlinetc,1,MISC
la re sarpada,1,MISC
liga gold,1,MISC
gabriel pérez najëra,1,PER
liga silvermimo,1,MISC
12 tareas de hércules,1,MISC
loudlycryingface,1,MISC
lua,1,MISC
m1m0,1,MISC
mantippinghandlightskintone,1,MISC
memrise,1,MISC
java,1,ORG
intagram,1,ORG
htmlcssjavascript,1,MISC
htlm,1,MISC
game maker lenjuage,1,MISC
gente handshake,1,MISC
google lens,1,MISC
google play console,1,MISC
google play store,1,MISC
grabiel matamala,1,PER
grasshooper,1,MISC
grasshoppee,1,MISC
grinningcatwithsmilingeyes  redheart,1,MISC
hasta hora mimo,1,MISC
hay todo bien,1,MISC
hello   mimo is fun  snapcat my favorite things,1,MISC
henry,1,PER
hola mundo,1,MISC
honduras,1,LOC
ésto,1,LOC
