feature,positiveCount,neutralCount,negativeCount,aggregatedAverage,positiveProportion,neutralProportion,negativeProportion
daily streaks,117,0,34,0.549668874172185,0.774834437086093,0,0.225165562913907
points system,29,0,8,0.567567567567568,0.783783783783784,0,0.216216216216216
progress bar,35,0,12,0.48936170212766,0.74468085106383,0,0.25531914893617
strike habit/competition,47,0,5,0.807692307692308,0.903846153846154,0,0.0961538461538462
social discovery,57,0,11,0.676470588235294,0.838235294117647,0,0.161764705882353
challenges,2023,0,493,0.608108108108108,0.804054054054054,0,0.195945945945946
leaderboard/competition,109,0,35,0.513888888888889,0.756944444444444,0,0.243055555555556
boosters,1475,0,222,0.73836181496759,0.869180907483795,0,0.130819092516205
virtual economy,4,0,1,0.6,0.8,0,0.2
torture breaks,496,0,539,-0.0415458937198068,0.479227053140097,0,0.520772946859903
visual grave,25,0,11,0.388888888888889,0.694444444444444,0,0.305555555555556
high five,18,0,0,1,1,0,0
last mile drive,1,0,1,0,0.5,0,0.5
anticipation parade,4,0,0,1,1,0,0
avatar,9,0,8,0.0588235294117647,0.529411764705882,0,0.470588235294118
win states,6,0,3,0.333333333333333,0.666666666666667,0,0.333333333333333
voting,75,0,63,0.0869565217391304,0.543478260869565,0,0.456521739130435
crowning,21,0,5,0.615384615384615,0.807692307692308,0,0.192307692307692
status quo sloth,1277,0,1109,0.0704107292539816,0.535205364626991,0,0.464794635373009
